A_1,A_2,A_3,A_4,A_5,A_6,A_7
2.1449,3.9572,3.7142,4.1962,3.2115,3.7726,A
2.1342,4.0085,3.7214,4.2796,3.2446,3.7556,A
2.0797,4.0861,3.685,4.2764,3.2772,3.7684,A
2.0077,4.0959,3.6517,4.282,3.3434,3.7364,A
1.9891,4.1096,3.6441,4.2896,3.4155,3.7327,A
2.0163,4.1401,3.661,4.2829,3.3672,3.7336,A
1.973,4.145,3.6543,4.2794,3.3199,3.7112,A
1.9648,4.1423,3.7386,4.2794,3.3491,3.7254,A
1.9464,4.1195,3.7495,4.3388,3.3725,3.6637,A
1.9348,4.0891,3.8242,4.4163,3.4362,3.631,A
1.8948,4.0683,3.8569,4.4345,3.5136,3.6387,A
1.8997,4.0755,3.8894,4.413,3.5989,3.6066,A
1.8503,4.1464,3.976,4.4857,3.7658,3.5796,A
1.91,4.1619,4.0387,4.4845,3.8637,3.5736,A
1.9116,4.2007,4.0537,4.5297,3.8249,3.5829,A
1.9525,4.2259,4.0505,4.5811,3.7951,3.5527,A
2.0098,4.2629,4.0243,4.6102,3.8199,3.5456,A
2.0136,4.3161,4.0315,4.5973,3.8597,3.5412,A
2.0147,4.2746,4.1007,4.6503,3.856,3.4875,A
2.0245,4.3416,4.0659,4.6784,3.8628,3.4954,A
2.0474,4.3576,4.0785,4.7063,3.8826,3.5567,A
2.0782,4.366,4.0784,4.6868,3.9048,3.5346,A
2.0778,4.5399,4.0867,4.6835,3.9636,3.5403,A
2.0618,4.5497,4.0764,4.7019,4.0084,3.5651,A
1.98,4.6226,4.0459,4.673,4.0283,3.5749,A
1.9464,4.638,4.0331,4.7054,4.074,3.5949,A
1.8991,4.6608,4.0509,4.7561,4.1989,3.5092,A
1.8981,4.7361,4.0312,4.6838,4.217,3.5063,A
1.9199,4.7886,4.0351,4.6787,4.2456,3.4787,A
1.9248,4.7742,4.0165,4.6336,4.256,3.4609,A
1.9228,4.8219,4.0694,4.5984,4.2641,3.4378,A
1.9858,4.8227,4.0893,4.5888,4.2683,3.461,A
1.9905,4.8263,4.1255,4.5853,4.2769,3.4487,A
2.0486,4.8046,4.1559,4.5337,4.2548,3.5427,A
2.0649,4.7853,4.1595,4.5445,4.2413,3.5735,A
2.0758,4.7885,4.1735,4.5427,4.2374,3.5783,A
