A_1,A_2,A_3,A_4,A_5,A_6,A_7
3.1804,1.9668,0.05017,0.43092,3.5856,1.9018,A
4.8256,1.9948,2.6384,0.82406,4.2959,0.21998,A
2.9395,2.4477,2.3411,0.098159,2.8025,0.22108,A
0.85329,2.8258,3.2064,0.096728,2.3028,3.8784,A
0.056566,2.3442,3.4705,0.44957,3.6855,2.6157,A
3.1457,1.4862,0.66533,2.9487,5.53,3.0321,A
0.89483,2.0207,3.098,0.86261,3.8697,2.0511,A
3.9515,1.2239,4.2323,1.2607,1.7419,0.0081441,A
1.666,3.3749,0.058847,2.2468,3.6146,3.0703,A
2.116,4.2915,0.27801,2.3364,4.7039,3.4601,A
1.6769,4.2874,0.043604,3.8525,5.421,4.5665,A
0.17046,3.5547,2.7659,0.91031,1.5495,2.5795,A
1.7782,4.064,2.7727,3.0085,5.6225,1.8102,A
3.9631,2.8291,3.2779,0.65854,3.2448,2.7122,A
0.1408,0.2997,2.2768,0.39232,1.3876,0.049097,A
0.2721,2.0339,0.78224,1.6596,2.7997,3.7558,A
0.91096,1.609,4.576,1.9793,2.1775,3.3546,A
0.89307,2.0322,2.49,0.38349,3.843,2.9728,A
2.6044,2.0627,3.7308,1.2979,0.90648,0.81228,A
2.6426,0.071933,3.5853,1.1705,1.6369,1.3775,A
0.24829,0.30541,2.8363,1.2894,5.5853,0.82156,A
0.91483,0.62805,4.5468,2.7586,5.9181,0.25481,A
0.073287,2.3098,3.8949,2.7729,5.8304,3.0881,A
1.081,2.2585,3.8439,0.5641,6.3682,0.01997,A
2.9234,1.877,4.9404,1.8398,5.9858,2.3285,A
0.42918,1.6963,4.6219,0.90469,5.0282,3.467,A
3.0797,0.52655,4.6568,2.4194,4.1714,2.9565,A
2.0251,2.0028,4.3674,2.5062,6.277,3.8646,A
1.1816,1.1102,1.8547,2.4292,7.1334,3.8383,A
3.0763,1.8416,2.2762,2.9312,7.7831,3.5312,A
2.2473,0.054709,4.3939,4.1352,8.1031,3.5895,A
3.1481,1.2052,2.4612,1.1082,7.221,4.3338,A
2.2811,0.037601,5.2555,4.3853,6.8403,4.7244,A
3.0722,0.44809,4.059,3.3934,5.386,3.6927,A
3.5449,1.09,4.3746,2.508,5.1116,1.7707,A
0.71347,0.0045552,2.8045,2.3607,6.5467,0.046285,A
2.9133,1.154,5.2214,2.8891,8.4743,3.7126,A
1.3602,1.7866,3.4229,3.6274,7.6259,2.3329,A
2.6509,0.032304,3.9204,3.6169,7.9148,2.6687,A
2.6673,2.1545,2.7372,1.6006,8.0741,3.4222,A
4.7579,0.86289,0.00072882,0.24784,8.1501,0.52253,A
0.4269,0.77187,2.1615,3.4166,5.724,1.1288,A
3.9257,0.24343,2.0472,0.69964,7.8073,1.1853,A
1.2585,0.55993,2.559,1.5092,6.6979,4.4928,A
0.46238,2.0381,0.094375,0.16565,5.2854,4.9756,A
3.5379,0.9611,0.046352,1.0278,4.6958,1.3178,A
4.3072,0.048419,3.3444,4.2224,7.39,2.5113,A
4.931,0.48368,3.7274,1.0073,8.0232,2.4856,A
5.5317,0.26099,1.6866,2.7156,8.6961,4.1554,A
5.8021,2.088,3.5095,1.644,9.3046,5.5852,A
5.8988,2.3792,1.2217,2.0454,9.7464,0.79667,A
1.708,2.0376,4.4348,3.1486,8.1098,5.2198,A
5.3863,1.8687,0.56704,2.796,9.3881,2.5559,A
2.8572,1.903,1.3328,2.2506,8.3189,3.2331,A
2.3701,0.21192,2.0225,1.4872,5.5403,2.9406,A
4.5068,2.3172,2.9058,0.13213,8.0269,2.5821,A
2.9982,2.2637,3.582,1.3271,5.7934,5.2683,A
5.5864,0.25717,2.7072,2.5662,8.402,5.6091,A
3.6661,0.85438,1.9376,1.18,7.0841,1.9003,A
3.952,1.8271,3.8309,2.4163,6.3298,3.6455,A
3.825,0.23881,1.2887,0.87169,1.1554,3.0614,A
0.63551,1.497,0.76588,1.0035,4.4839,0.035094,A
1.0749,1.2602,3.2091,0.74345,5.1252,4.0076,A
3.1139,0.031894,2.7573,0.30192,6.432,0.023022,A
1.4299,0.92925,0.85866,3.1099,6.0629,0.026475,A
2.9875,0.16215,1.0619,1.4534,4.2655,4.2246,A
4.0733,0.9921,0.060143,1.3026,5.4656,2.3528,A
4.9009,0.77393,3.0897,0.22486,0.68642,4.0986,A
4.8787,1.5094,2.3879,1.6219,0.95416,4.3213,A
4.4087,1.231,1.3667,2.3136,4.834,3.8185,A
4.3038,0.12549,0.034711,3.2176,4.6176,2.2776,A
3.7015,3.4925,2.0199,1.1261,4.7472,2.3907,A
0.00018613,2.1246,0.00054063,2.8346,4.7855,3.8443,A
0.030533,3.2167,1.386,3.6154,4.9808,5.4972,A
0.087494,2.7802,2.8495,0.87467,3.4125,5.4783,A
3.1831,0.55344,2.278,0.44063,3.4623,2.437,A
3.2458,0.64413,3.6956,1.0216,9.1022,4.8016,A
2.5405,1.8613,2.6774,2.3781,6.7338,5.7136,A
